causa_def|base_code|cod_group
A419|A41|Amenable to medical services
P369|P36|Amenable to medical services
X594|X59|Residual causes
I219|I21|Ischemic Heart Diseases
E122|E12|Diabetes
J90X|J90|Amenable to medical services
K254|K25|Amenable to medical services
Q249|Q24|Amenable to medical services
C509|C50|Amenable to medical services
C169|C16|Amenable to medical services
I269|I26|Residual causes
K709|K70|Cirrhosis
P220|P22|Amenable to medical services
E147|E14|Diabetes
X700|X70|Residual causes
C23X|C23|Residual causes
J180|J18|Amenable to medical services
E117|E11|Diabetes
R99X|R99|Residual causes
K703|K70|Cirrhosis
C349|C34|Lung cancer
J189|J18|Amenable to medical services
C259|C25|Residual causes
E116|E11|Diabetes
I679|I67|Amenable to medical services
I259|I25|Ischemic Heart Diseases
J449|J44|Amenable to medical services
I709|I70|Residual causes
X449|X44|Residual causes
C539|C53|Amenable to medical services
I110|I11|Amenable to medical services
Q02X|Q02|Residual causes
X599|X59|Residual causes
F100|F10|Residual causes
E146|E14|Diabetes
J988|J98|Amenable to medical services
N179|N17|Amenable to medical services
M332|M33|Residual causes
E126|E12|Diabetes
N19X|N19|Amenable to medical services
I350|I35|Residual causes
K922|K92|Residual causes
K801|K80|Amenable to medical services
N390|N39|Residual causes
I639|I63|Amenable to medical services
K868|K86|Residual causes
A86X|A86|Residual causes
M471|M47|Residual causes
Q909|Q90|Residual causes
I610|I61|Amenable to medical services
A162|A16|Amenable to medical services
K746|K74|Residual causes
A09X|A09|Amenable to medical services
D126|D12|Residual causes
C187|C18|Amenable to medical services
I509|I50|Residual causes
I10X|I10|Amenable to medical services
J969|J96|Amenable to medical services
J440|J44|Amenable to medical services
J841|J84|Amenable to medical services
J960|J96|Amenable to medical services
M869|M86|Residual causes
K219|K21|Residual causes
I850|I85|Residual causes
V099|V09|Road traffic accidents
W199|W19|Residual causes
C189|C18|Amenable to medical services
E46X|E46|Residual causes
I678|I67|Amenable to medical services
K550|K55|Residual causes
L89X|L89|Residual causes
I251|I25|Ischemic Heart Diseases
I698|I69|Amenable to medical services
I64X|I64|Amenable to medical services
E43X|E43|Residual causes
K701|K70|Cirrhosis
C039|C03|Residual causes
W809|W80|Residual causes
W799|W79|Residual causes
P240|P24|Amenable to medical services
E142|E14|Diabetes
W789|W78|Residual causes
D390|D39|Residual causes
C269|C26|Residual causes
E149|E14|Diabetes
J64X|J64|Amenable to medical services
I771|I77|Residual causes
J219|J21|Residual causes
I700|I70|Residual causes
F182|F18|Residual causes
Y579|Y57|Residual causes
C574|C57|Residual causes
M725|M72|Residual causes
C56X|C56|Residual causes
X094|X09|Residual causes
C250|C25|Residual causes
C64X|C64|Amenable to medical services
F172|F17|Residual causes
V892|V89|Road traffic accidents
W744|W74|Residual causes
J80X|J80|Amenable to medical services
I619|I61|Amenable to medical services
E86X|E86|Residual causes
K460|K46|Amenable to medical services
I358|I35|Residual causes
X740|X74|Residual causes
C924|C92|Amenable to medical services
Q000|Q00|Residual causes
C920|C92|Amenable to medical services
N119|N11|Residual causes
I119|I11|Amenable to medical services
X479|X47|Residual causes
I099|I09|Amenable to medical services
F102|F10|Residual causes
G35X|G35|Residual causes
E440|E44|Residual causes
J46X|J46|Amenable to medical services
C910|C91|Amenable to medical services
E112|E11|Diabetes
K85X|K85|Residual causes
E889|E88|Residual causes
E872|E87|Residual causes
P000|P00|Amenable to medical services
P209|P20|Amenable to medical services
I059|I05|Amenable to medical services
X409|X40|Residual causes
C159|C15|Residual causes
M069|M06|Residual causes
E668|E66|Residual causes
J209|J20|Amenable to medical services
J439|J43|Amenable to medical services
J22X|J22|Residual causes
B942|B94|Residual causes
D377|D37|Residual causes
J181|J18|Amenable to medical services
Y099|Y09|Homicides
C61X|C61|Amenable to medical services
Q210|Q21|Amenable to medical services
G10X|G10|Residual causes
C20X|C20|Amenable to medical services
J980|J98|Amenable to medical services
I069|I06|Amenable to medical services
F03X|F03|Residual causes
J42X|J42|Amenable to medical services
J448|J44|Amenable to medical services
I501|I50|Residual causes
I258|I25|Ischemic Heart Diseases
O881|O88|Amenable to medical services
N189|N18|Amenable to medical services
H603|H60|Residual causes
I500|I50|Residual causes
G809|G80|Residual causes
D376|D37|Residual causes
Q612|Q61|Residual causes
G419|G41|Amenable to medical services
O984|O98|Amenable to medical services
I139|I13|Amenable to medical services
K295|K29|Residual causes
K819|K81|Amenable to medical services
C229|C22|Residual causes
W194|W19|Residual causes
G934|G93|Residual causes
G932|G93|Residual causes
Q913|Q91|Residual causes
P251|P25|Amenable to medical services
C762|C76|Residual causes
E140|E14|Diabetes
D65X|D65|Residual causes
P293|P29|Amenable to medical services
I638|I63|Amenable to medical services
I120|I12|Amenable to medical services
K350|K35|Amenable to medical services
Y86X|Y86|Residual causes
V872|V87|Road traffic accidents
E145|E14|Diabetes
E039|E03|Amenable to medical services
C97X|C97|Residual causes
M138|M13|Residual causes
E662|E66|Residual causes
D181|D18|Residual causes
Q336|Q33|Residual causes
Q039|Q03|Residual causes
J459|J45|Amenable to medical services
K566|K56|Residual causes
Y209|Y20|Residual causes
C930|C93|Amenable to medical services
P291|P29|Amenable to medical services
B019|B01|Residual causes
C719|C71|Residual causes
J690|J69|Amenable to medical services
C710|C71|Residual causes
E118|E11|Diabetes
W790|W79|Residual causes
K721|K72|Residual causes
Q899|Q89|Residual causes
J441|J44|Amenable to medical services
C73X|C73|Amenable to medical services
K810|K81|Amenable to medical services
I279|I27|Residual causes
C519|C51|Residual causes
C679|C67|Amenable to medical services
P072|P07|Amenable to medical services
P239|P23|Amenable to medical services
K403|K40|Amenable to medical services
E128|E12|Diabetes
X704|X70|Residual causes
M199|M19|Residual causes
D761|D76|Residual causes
C480|C48|Residual causes
M331|M33|Residual causes
K729|K72|Residual causes
G009|G00|Residual causes
B24X|B24|Residual causes
K766|K76|Residual causes
I490|I49|Residual causes
G950|G95|Residual causes
N12X|N12|Residual causes
C482|C48|Residual causes
Y340|Y34|Residual causes
I99X|I99|Residual causes
V878|V87|Road traffic accidents
C760|C76|Residual causes
B199|B19|Amenable to medical services
I802|I80|Residual causes
N180|N18|Amenable to medical services
I872|I87|Residual causes
Q897|Q89|Residual causes
C859|C85|Residual causes
C80X|C80|Residual causes
W147|W14|Residual causes
A052|A05|Amenable to medical services
I270|I27|Residual causes
D649|D64|Residual causes
E788|E78|Residual causes
E107|E10|Diabetes
E119|E11|Diabetes
K274|K27|Amenable to medical services
V899|V89|Road traffic accidents
K559|K55|Residual causes
C786|C78|Residual causes
C449|C44|Amenable to medical services
E127|E12|Diabetes
I420|I42|Residual causes
K631|K63|Residual causes
V499|V49|Road traffic accidents
I719|I71|Residual causes
C249|C24|Residual causes
K318|K31|Residual causes
P832|P83|Amenable to medical services
I260|I26|Residual causes
K296|K29|Residual causes
I48X|I48|Residual causes
D430|D43|Residual causes
C218|C21|Amenable to medical services
P210|P21|Amenable to medical services
J989|J98|Amenable to medical services
D381|D38|Residual causes
O159|O15|Amenable to medical services
C443|C44|Amenable to medical services
P011|P01|Amenable to medical services
