cve_ent|cve_mun|year|month|homicides|ent_mun
01|001|2000|3|1|01001
01|001|2000|4|2|01001
01|001|2000|5|1|01001
01|001|2000|6|2|01001
01|001|2000|7|1|01001
01|001|2000|8|3|01001
01|001|2000|9|2|01001
01|001|2000|10|2|01001
01|001|2000|11|1|01001
01|001|2001|1|3|01001
01|001|2001|2|1|01001
01|001|2001|4|3|01001
01|001|2001|5|2|01001
01|001|2001|6|1|01001
01|001|2001|7|1|01001
01|001|2001|8|1|01001
01|001|2001|9|2|01001
01|001|2001|11|2|01001
01|001|2001|12|1|01001
01|001|2002|1|2|01001
01|001|2002|2|2|01001
01|001|2002|4|3|01001
01|001|2002|5|2|01001
01|001|2002|6|2|01001
01|001|2002|7|4|01001
01|001|2002|8|2|01001
01|001|2002|9|1|01001
01|001|2002|10|1|01001
01|001|2002|11|4|01001
01|001|2002|12|3|01001
01|001|2003|1|1|01001
01|001|2003|3|1|01001
01|001|2003|4|2|01001
01|001|2003|5|4|01001
01|001|2003|6|2|01001
01|001|2003|7|1|01001
01|001|2003|10|1|01001
01|001|2003|11|1|01001
01|001|2003|12|3|01001
01|001|2004|1|1|01001
01|001|2004|4|2|01001
01|001|2004|5|3|01001
01|001|2004|6|2|01001
01|001|2004|7|1|01001
01|001|2004|9|2|01001
01|001|2004|10|2|01001
01|001|2004|11|2|01001
01|001|2005|1|1|01001
01|001|2005|3|4|01001
01|001|2005|5|2|01001
01|001|2005|6|4|01001
01|001|2005|8|1|01001
01|001|2005|9|2|01001
01|001|2005|10|1|01001
01|001|2005|11|2|01001
01|001|2005|12|1|01001
01|001|2006|1|1|01001
01|001|2006|2|3|01001
01|001|2006|3|1|01001
01|001|2006|4|1|01001
01|001|2006|5|4|01001
01|001|2006|6|2|01001
01|001|2006|7|4|01001
01|001|2006|8|2|01001
01|001|2006|9|2|01001
01|001|2006|11|2|01001
01|001|2006|12|1|01001
01|001|2007|1|2|01001
01|001|2007|2|1|01001
01|001|2007|3|1|01001
01|001|2007|5|2|01001
01|001|2007|6|4|01001
01|001|2007|7|5|01001
01|001|2007|8|5|01001
01|001|2007|9|2|01001
01|001|2007|10|5|01001
01|001|2007|11|3|01001
01|001|2007|12|1|01001
01|001|2008|1|3|01001
01|001|2008|2|1|01001
01|001|2008|3|2|01001
01|001|2008|4|1|01001
01|001|2008|5|5|01001
01|001|2008|6|2|01001
01|001|2008|7|9|01001
01|001|2008|8|6|01001
01|001|2008|9|6|01001
01|001|2008|10|3|01001
01|001|2008|11|2|01001
01|001|2008|12|5|01001
01|001|2009|1|5|01001
01|001|2009|2|3|01001
01|001|2009|3|4|01001
01|001|2009|4|3|01001
01|001|2009|5|6|01001
01|001|2009|6|7|01001
01|001|2009|7|4|01001
01|001|2009|8|3|01001
01|001|2009|9|3|01001
01|001|2009|10|2|01001
01|001|2009|11|2|01001
01|001|2009|12|6|01001
01|001|2010|1|2|01001
01|001|2010|2|6|01001
01|001|2010|3|1|01001
01|001|2010|4|1|01001
01|001|2010|5|1|01001
01|001|2010|6|5|01001
01|001|2010|7|3|01001
01|001|2010|8|10|01001
01|001|2010|9|9|01001
01|001|2010|10|8|01001
01|001|2010|11|8|01001
01|001|2010|12|7|01001
01|001|2011|1|11|01001
01|001|2011|2|8|01001
01|001|2011|3|5|01001
01|001|2011|4|8|01001
01|001|2011|5|7|01001
01|001|2011|6|10|01001
01|001|2011|7|6|01001
01|001|2011|9|3|01001
01|001|2011|10|5|01001
01|001|2011|11|2|01001
01|001|2011|12|6|01001
01|001|2012|1|2|01001
01|001|2012|2|4|01001
01|001|2012|3|5|01001
01|001|2012|4|2|01001
01|001|2012|5|5|01001
01|001|2012|6|2|01001
01|001|2012|7|2|01001
01|001|2012|8|2|01001
01|001|2012|9|4|01001
01|001|2012|10|2|01001
01|001|2012|11|3|01001
01|001|2012|12|2|01001
01|001|2013|1|1|01001
01|001|2013|2|1|01001
01|001|2013|3|1|01001
01|001|2013|4|2|01001
01|001|2013|6|2|01001
01|001|2013|7|6|01001
01|001|2013|8|3|01001
01|001|2013|9|2|01001
01|001|2013|10|1|01001
01|001|2013|11|5|01001
01|001|2014|1|1|01001
01|001|2014|2|4|01001
01|001|2014|3|2|01001
01|001|2014|4|2|01001
01|001|2014|5|3|01001
01|001|2014|6|7|01001
01|001|2014|7|2|01001
01|001|2014|8|3|01001
01|001|2014|9|2|01001
01|001|2014|10|7|01001
01|001|2014|12|4|01001
01|001|2015|1|5|01001
01|001|2015|2|1|01001
01|001|2015|3|2|01001
01|001|2015|4|3|01001
01|001|2015|5|4|01001
01|001|2015|6|7|01001
01|001|2015|7|2|01001
01|001|2015|9|4|01001
01|001|2015|10|3|01001
01|001|2015|12|4|01001
01|001|2016|2|5|01001
01|001|2016|3|5|01001
01|001|2016|4|5|01001
